feature_set,model,split,label,precision,recall,f1-score,support
v1_yellow_related,logistic_regression,validation,accuracy,0.5844748858447488,0.5844748858447488,0.5844748858447488,0.5844748858447488
v1_yellow_related,logistic_regression,validation,macro avg,0.5457842988957797,0.5418973688873139,0.5412127795802968,1752.0
v1_yellow_related,logistic_regression,validation,weighted avg,0.5709450486908149,0.5844748858447488,0.5753078224355527,1752.0
v1_yellow_related,logistic_regression,test,No,0.48396946564885496,0.4260752688172043,0.453180843459614,744.0
v1_yellow_related,logistic_regression,test,Yes,0.6096892138939671,0.663681592039801,0.635540733682706,1005.0
v1_yellow_related,logistic_regression,test,accuracy,0.5626072041166381,0.5626072041166381,0.5626072041166381,0.5626072041166381
v1_yellow_related,logistic_regression,test,macro avg,0.546829339771411,0.5448784304285027,0.54436078857116,1749.0
v1_yellow_related,logistic_regression,test,weighted avg,0.556209801261398,0.5626072041166381,0.5579674013065021,1749.0
v1_yellow_related,random_forest_reference,train,No,0.9216614090431126,0.9204515620897874,0.9210560882700644,3809.0
v1_yellow_related,random_forest_reference,train,Yes,0.941987363584147,0.9428899961671139,0.9424384637486831,5218.0
v1_yellow_related,random_forest_reference,train,accuracy,0.9334219563531627,0.9334219563531627,0.9334219563531627,0.9334219563531627
v1_yellow_related,random_forest_reference,train,macro avg,0.9318243863136297,0.9316707791284506,0.9317472760093737,9027.0
v1_yellow_related,random_forest_reference,train,weighted avg,0.9334106979314608,0.9334219563531627,0.933416034569769,9027.0
v1_yellow_related,random_forest_reference,validation,No,0.4786184210526316,0.4382530120481928,0.45754716981132076,664.0
v1_yellow_related,random_forest_reference,validation,Yes,0.673951048951049,0.7086397058823529,0.6908602150537635,1088.0
v1_yellow_related,random_forest_reference,validation,accuracy,0.6061643835616438,0.6061643835616438,0.6061643835616438,0.6061643835616438
v1_yellow_related,random_forest_reference,validation,macro avg,0.5762847350018403,0.5734463589652729,0.5742036924325421,1752.0
v1_yellow_related,random_forest_reference,validation,weighted avg,0.5999208749073566,0.6061643835616438,0.6024356362632487,1752.0
v1_yellow_related,random_forest_reference,test,No,0.4909090909090909,0.43548387096774194,0.46153846153846156,744.0
v1_yellow_related,random_forest_reference,test,Yes,0.6143250688705234,0.6656716417910448,0.6389684813753582,1005.0
v1_yellow_related,random_forest_reference,test,accuracy,0.5677530017152659,0.5677530017152659,0.5677530017152659,0.5677530017152659
v1_yellow_related,random_forest_reference,test,macro avg,0.5526170798898071,0.5505777563793933,0.5502534714569098,1749.0
v1_yellow_related,random_forest_reference,test,weighted avg,0.5618256477136876,0.5677530017152659,0.5634922465219271,1749.0
v1_yellow_related,catboost_classifier,train,No,0.6545392723563414,0.5053819900236283,0.5703703703703704,3809.0
v1_yellow_related,catboost_classifier,train,Yes,0.6904370686822215,0.8052893829053277,0.7434536447275301,5218.0
v1_yellow_related,catboost_classifier,train,accuracy,0.6787415531184225,0.6787415531184225,0.6787415531184225,0.6787415531184225
v1_yellow_related,catboost_classifier,train,macro avg,0.6724881705192814,0.6553356864644779,0.6569120075489503,9027.0
v1_yellow_related,catboost_classifier,train,weighted avg,0.6752897654579745,0.6787415531184225,0.670420057486318,9027.0
v1_yellow_related,catboost_classifier,validation,No,0.47638603696098564,0.3493975903614458,0.40312771503040834,664.0
v1_yellow_related,catboost_classifier,validation,Yes,0.658498023715415,0.765625,0.7080322991925202,1088.0
v1_yellow_related,catboost_classifier,validation,accuracy,0.6078767123287672,0.6078767123287672,0.6078767123287672,0.6078767123287672
v1_yellow_related,catboost_classifier,validation,macro avg,0.5674420303382003,0.5575112951807228,0.5555800071114643,1752.0
v1_yellow_related,catboost_classifier,validation,weighted avg,0.5894784122970697,0.6078767123287672,0.592474854053455,1752.0
v1_yellow_related,catboost_classifier,test,No,0.46923076923076923,0.3279569892473118,0.3860759493670886,744.0
v1_yellow_related,catboost_classifier,test,Yes,0.5931651749389748,0.7253731343283583,0.6526410026857654,1005.0
v1_yellow_related,catboost_classifier,test,accuracy,0.5563178959405375,0.5563178959405375,0.5563178959405375,0.5563178959405375
v1_yellow_related,catboost_classifier,test,macro avg,0.5311979720848721,0.526665061787835,0.519358476026427,1749.0
v1_yellow_related,catboost_classifier,test,weighted avg,0.5404452219104414,0.5563178959405375,0.5392479782894843,1749.0
