feature_set,model,split,threshold,accuracy,balanced_accuracy,f1,precision,recall,no_recall,yes_recall,true_no_pred_no,true_no_pred_yes,true_yes_pred_no,true_yes_pred_yes,C,class_weight,experiment_type
v1_only,logistic_c_0_3__balanced,validation,0.5,0.5422374429223744,0.5436913093550673,0.5933062880324543,0.6617647058823529,0.5376838235294118,0.5496987951807228,0.5376838235294118,365,299,503,585,0.3,balanced,logistic_tuning
v1_only,logistic_c_0_3__no_1_2,train,0.5,0.6556995679627783,0.6469954861702645,0.7023558705228883,0.7019525267993875,0.7027596780375622,0.5912312943029666,0.7027596780375622,2252,1557,1551,3667,0.3,no_1_2,logistic_tuning
v1_only,logistic_c_0_3__no_1_2,validation,0.5,0.555365296803653,0.5410557671863927,0.626378896882494,0.6549648946840522,0.6001838235294118,0.4819277108433735,0.6001838235294118,320,344,435,653,0.3,no_1_2,logistic_tuning
v1_only,logistic_c_0_3__yes_1_2,train,0.5,0.6541486651157639,0.6152413978673696,0.7429183135704874,0.6513138896910193,0.8645074741280184,0.3659753216067209,0.8645074741280184,1394,2415,707,4511,0.3,yes_1_2,logistic_tuning
v1_only,logistic_c_0_3__yes_1_2,validation,0.5,0.6044520547945206,0.5447765326009922,0.7130434782608696,0.6488319517709118,0.7913602941176471,0.29819277108433734,0.7913602941176471,198,466,227,861,0.3,yes_1_2,logistic_tuning
v1_only,logistic_c_0_3__yes_1_4,train,0.5,0.6449540268084635,0.5965834987055834,0.7469403868930122,0.6351550960118169,0.9064775776159448,0.28668941979522183,0.9064775776159448,1092,2717,488,4730,0.3,yes_1_4,logistic_tuning
v1_only,logistic_c_0_3__yes_1_4,validation,0.5,0.6141552511415526,0.5390901842664777,0.7321711568938193,0.6434540389972145,0.8492647058823529,0.2289156626506024,0.8492647058823529,152,512,164,924,0.3,yes_1_4,logistic_tuning
v1_only,logistic_c_1_0__none,train,0.5,0.6596876038551014,0.6361249420262132,0.7278043593833068,0.676829268292683,0.7870831736297432,0.4851667104226831,0.7870831736297432,1848,1961,1111,4107,1.0,none,logistic_tuning
v1_only,logistic_c_1_0__none,validation,0.5,0.5764840182648402,0.5372242647058824,0.6722614840989399,0.6471088435374149,0.6994485294117647,0.375,0.6994485294117647,249,415,327,761,1.0,none,logistic_tuning
v1_only,logistic_c_1_0__balanced,train,0.5,0.6463941508806913,0.6491193971712315,0.6737530662305805,0.7218572054314498,0.6316596397087006,0.6665791546337622,0.6316596397087006,2539,1270,1922,3296,1.0,balanced,logistic_tuning
v1_only,logistic_c_1_0__balanced,validation,0.5,0.5439497716894978,0.5438961729270021,0.5970751386787695,0.6614525139664804,0.5441176470588235,0.5436746987951807,0.5441176470588235,361,303,496,592,1.0,balanced,logistic_tuning
v1_only,logistic_c_1_0__no_1_2,train,0.5,0.655367231638418,0.6471688163465903,0.7012388360702967,0.70279114533205,0.6996933691069376,0.5946442635862431,0.6996933691069376,2265,1544,1567,3651,1.0,no_1_2,logistic_tuning
v1_only,logistic_c_1_0__no_1_2,validation,0.5,0.555365296803653,0.5410557671863927,0.626378896882494,0.6549648946840522,0.6001838235294118,0.4819277108433735,0.6001838235294118,320,344,435,653,1.0,no_1_2,logistic_tuning
v1_only,logistic_c_1_0__yes_1_2,train,0.5,0.6565857981610723,0.6186964292776151,0.7435897435897436,0.6541036088474971,0.8614411651973937,0.3759516933578367,0.8614411651973937,1432,2377,723,4495,1.0,yes_1_2,logistic_tuning
v1_only,logistic_c_1_0__yes_1_2,validation,0.5,0.6067351598173516,0.5486689404677534,0.7135135135135136,0.6514806378132119,0.7886029411764706,0.30873493975903615,0.7886029411764706,205,459,230,858,1.0,yes_1_2,logistic_tuning
v1_only,logistic_c_1_0__yes_1_4,train,0.5,0.647391159853772,0.6003220972780269,0.747280666931322,0.6379286973024264,0.9018781142200076,0.2987660803360462,0.9018781142200076,1138,2671,512,4706,1.0,yes_1_4,logistic_tuning
v1_only,logistic_c_1_0__yes_1_4,validation,0.5,0.610730593607306,0.5389739103472714,0.7272,0.6437677053824362,0.8354779411764706,0.24246987951807228,0.8354779411764706,161,503,179,909,1.0,yes_1_4,logistic_tuning
v1_only,logistic_c_3_0__none,train,0.5,0.6621247369004098,0.6390837309026121,0.7291296625222025,0.6794107911287653,0.7866998850134151,0.49146757679180886,0.7866998850134151,1872,1937,1113,4105,3.0,none,logistic_tuning
v1_only,logistic_c_3_0__none,validation,0.5,0.5787671232876712,0.5402363128986535,0.6734513274336283,0.6493174061433447,0.6994485294117647,0.3810240963855422,0.6994485294117647,253,411,327,761,3.0,none,logistic_tuning
v1_only,logistic_c_3_0__balanced,train,0.5,0.6468372659798383,0.6496090234733838,0.6740952770394603,0.7223926380368099,0.6318512840168647,0.6673667629299028,0.6318512840168647,2542,1267,1921,3297,3.0,balanced,logistic_tuning
