feature_set,model,split,threshold,accuracy,balanced_accuracy,f1,precision,recall,no_recall,yes_recall,true_no_pred_no,true_no_pred_yes,true_yes_pred_no,true_yes_pred_yes,C,class_weight,experiment_type
v1_only,logistic_c_0_3__balanced,validation,0.5,0.5325342465753424,0.5358301178433622,0.4363386097728837,0.5650623885918004,0.35538116591928254,0.7162790697674418,0.35538116591928254,616,244,575,317,0.3,balanced,logistic_tuning
v1_only,logistic_c_0_3__no_1_2,train,0.5,0.5813670100808686,0.5840286698697345,0.5278020742221667,0.6222746022392457,0.45823389021479716,0.7098234495246718,0.45823389021479716,3136,1282,2497,2112,0.3,no_1_2,logistic_tuning
v1_only,logistic_c_0_3__no_1_2,validation,0.5,0.5228310502283106,0.5282615496923558,0.3301282051282051,0.5786516853932584,0.23094170403587444,0.8255813953488372,0.23094170403587444,710,150,686,206,0.3,no_1_2,logistic_tuning
v1_only,logistic_c_0_3__yes_1_2,train,0.5,0.5818101251800155,0.5770149159030185,0.6624340516855942,0.5634317006388805,0.8036450423085268,0.3503847894975102,0.8036450423085268,1548,2870,905,3704,0.3,yes_1_2,logistic_tuning
v1_only,logistic_c_0_3__yes_1_2,validation,0.5,0.541095890410959,0.540296172697883,0.5644637053087758,0.5461215932914046,0.5840807174887892,0.4965116279069767,0.5840807174887892,427,433,371,521,0.3,yes_1_2,logistic_tuning
v1_only,logistic_c_0_3__yes_1_4,train,0.5,0.5667442118090174,0.559770794068055,0.6770170947229334,0.5465333333333333,0.8893469299197223,0.23019465821638752,0.8893469299197223,1017,3401,510,4099,0.3,yes_1_4,logistic_tuning
v1_only,logistic_c_0_3__yes_1_4,validation,0.5,0.5319634703196348,0.5282198352278653,0.6146616541353384,0.529126213592233,0.7331838565022422,0.32325581395348835,0.7331838565022422,278,582,238,654,0.3,yes_1_4,logistic_tuning
v1_only,logistic_c_1_0__none,train,0.5,0.5867951700454193,0.585606442843489,0.613311217084802,0.5872543180464562,0.6417878064656107,0.5294250792213672,0.6417878064656107,2339,2079,1651,2958,1.0,none,logistic_tuning
v1_only,logistic_c_1_0__none,validation,0.5,0.5308219178082192,0.5329804984878507,0.4737516005121639,0.5522388059701493,0.4147982062780269,0.6511627906976745,0.4147982062780269,560,300,522,370,1.0,none,logistic_tuning
v1_only,logistic_c_1_0__balanced,train,0.5,0.5887891879915809,0.5884221003231322,0.6006884681583476,0.5956902069554085,0.6057713169885007,0.5710728836577637,0.6057713169885007,2523,1895,1817,2792,1.0,balanced,logistic_tuning
v1_only,logistic_c_1_0__balanced,validation,0.5,0.5273972602739726,0.5303681301491292,0.4420485175202156,0.5540540540540541,0.36771300448430494,0.6930232558139535,0.36771300448430494,596,264,564,328,1.0,balanced,logistic_tuning
v1_only,logistic_c_1_0__no_1_2,train,0.5,0.5850227096488313,0.5874350928925348,0.5381011097410604,0.6232504998571836,0.47342156650032546,0.7014486192847442,0.47342156650032546,3099,1319,2427,2182,1.0,no_1_2,logistic_tuning
v1_only,logistic_c_1_0__no_1_2,validation,0.5,0.5245433789954338,0.529672020022943,0.34768989819890367,0.5766233766233766,0.24887892376681614,0.8104651162790698,0.24887892376681614,697,163,670,222,1.0,no_1_2,logistic_tuning
v1_only,logistic_c_1_0__yes_1_2,train,0.5,0.5850227096488313,0.5804517132961953,0.6621572871572872,0.5665997839172712,0.7964851377739206,0.3644182888184699,0.7964851377739206,1610,2808,938,3671,1.0,yes_1_2,logistic_tuning
v1_only,logistic_c_1_0__yes_1_2,validation,0.5,0.5439497716894978,0.543203149442069,0.5659967409016838,0.5489989462592202,0.5840807174887892,0.5023255813953489,0.5840807174887892,432,428,371,521,1.0,yes_1_2,logistic_tuning
v1_only,logistic_c_1_0__yes_1_4,train,0.5,0.5695136811786862,0.5628580774855345,0.6754635042592283,0.5490835030549898,0.8774137556953786,0.24830239927569037,0.8774137556953786,1097,3321,565,4044,1.0,yes_1_4,logistic_tuning
v1_only,logistic_c_1_0__yes_1_4,validation,0.5,0.5331050228310502,0.529632912712483,0.6108468125594672,0.5305785123966942,0.7197309417040358,0.3395348837209302,0.7197309417040358,292,568,250,642,1.0,yes_1_4,logistic_tuning
v1_only,logistic_c_3_0__none,train,0.5,0.5871275063697795,0.5859553429475132,0.6133416329494761,0.5876739562624255,0.6413538728574528,0.5305568130375735,0.6413538728574528,2344,2074,1653,2956,3.0,none,logistic_tuning
v1_only,logistic_c_3_0__none,validation,0.5,0.5251141552511416,0.5272708311607051,0.4673495518565941,0.5447761194029851,0.40919282511210764,0.6453488372093024,0.40919282511210764,555,305,527,365,3.0,none,logistic_tuning
v1_only,logistic_c_3_0__balanced,train,0.5,0.5898969757394483,0.5894928644047837,0.6024484536082474,0.5964278120348714,0.6085918854415274,0.5703938433680399,0.6085918854415274,2520,1898,1804,2805,3.0,balanced,logistic_tuning
v1_only,logistic_c_3_0__balanced,validation,0.5,0.5245433789954338,0.5272942955469809,0.44651162790697674,0.5481239804241436,0.37668161434977576,0.6779069767441861,0.37668161434977576,583,277,556,336,3.0,balanced,logistic_tuning
v1_only,logistic_c_3_0__no_1_2,train,0.5,0.5835825855766035,0.5859591489518854,0.5373538461538462,0.6208759954493743,0.4736385333044044,0.6982797645993662,0.4736385333044044,3085,1333,2426,2183,3.0,no_1_2,logistic_tuning
v1_only,logistic_c_3_0__no_1_2,validation,0.5,0.526255707762557,0.5312910626759829,0.3545878693623639,0.5786802030456852,0.2556053811659193,0.8069767441860465,0.2556053811659193,694,166,664,228,3.0,no_1_2,logistic_tuning
v1_only,logistic_c_3_0__yes_1_2,train,0.5,0.5843580370001108,0.5799133723939061,0.6599601232553924,0.566692607003891,0.7899761336515513,0.3698506111362608,0.7899761336515513,1634,2784,968,3641,3.0,yes_1_2,logistic_tuning
v1_only,logistic_c_3_0__yes_1_2,validation,0.5,0.5388127853881278,0.5379914485347794,0.5627705627705628,0.5439330543933054,0.5829596412556054,0.4930232558139535,0.5829596412556054,424,436,372,520,3.0,yes_1_2,logistic_tuning
v1_only,logistic_c_3_0__yes_1_4,train,0.5,0.5707322477013405,0.5642530640299586,0.674342381712749,0.5503429355281207,0.8704708179648514,0.25803531009506564,0.8704708179648514,1140,3278,597,4012,3.0,yes_1_4,logistic_tuning
v1_only,logistic_c_3_0__yes_1_4,validation,0.5,0.5342465753424658,0.5308999895713838,0.6095693779904306,0.5317195325542571,0.7141255605381166,0.34767441860465115,0.7141255605381166,299,561,255,637,3.0,yes_1_4,logistic_tuning
v1_corners_related,logistic_c_0_05__none,train,0.5,0.5816993464052288,0.5804895769009812,0.6088667909674746,0.5825569871159564,0.6376654371881102,0.5233137166138524,0.6376654371881102,2312,2106,1670,2939,0.05,none,logistic_tuning
v1_corners_related,logistic_c_0_05__none,validation,0.5,0.5308219178082192,0.5336687871519449,0.4505347593582888,0.5579470198675497,0.3778026905829596,0.6895348837209302,0.3778026905829596,593,267,555,337,0.05,none,logistic_tuning
v1_corners_related,logistic_c_0_05__balanced,train,0.5,0.5834718068018168,0.5833509064330903,0.5908596300326442,0.5926653569089718,0.5890648730744196,0.577636939791761,0.5890648730744196,2552,1866,1894,2715,0.05,balanced,logistic_tuning
v1_corners_related,logistic_c_0_05__balanced,validation,0.5,0.5279680365296804,0.5316795286265512,0.41472045293701343,0.5623800383877159,0.32847533632286996,0.7348837209302326,0.32847533632286996,632,228,599,293,0.05,balanced,logistic_tuning
v1_corners_related,logistic_c_0_05__no_1_2,train,0.5,0.5706214689265536,0.57401698764625,0.495837669094693,0.6190321532965248,0.4135387285745281,0.734495246717972,0.4135387285745281,3245,1173,2703,1906,0.05,no_1_2,logistic_tuning
v1_corners_related,logistic_c_0_05__no_1_2,validation,0.5,0.5245433789954338,0.5304854520805089,0.30525437864887406,0.5960912052117264,0.20515695067264575,0.8558139534883721,0.20515695067264575,736,124,709,183,0.05,no_1_2,logistic_tuning
v1_corners_related,logistic_c_0_05__yes_1_2,train,0.5,0.5685166722056054,0.5630073219666563,0.6608619939050936,0.5519197207678883,0.8233890214797136,0.3026256224535989,0.8233890214797136,1337,3081,814,3795,0.05,yes_1_2,logistic_tuning
v1_corners_related,logistic_c_0_05__yes_1_2,validation,0.5,0.5319634703196348,0.5306392741683179,0.5675105485232067,0.5358565737051793,0.6031390134529148,0.45813953488372094,0.6031390134529148,394,466,354,538,0.05,yes_1_2,logistic_tuning
v1_corners_related,logistic_c_0_05__yes_1_4,train,0.5,0.5546693253572615,0.5468111281871112,0.6779878244152515,0.5373968253968254,0.9182035148622261,0.17541874151199638,0.9182035148622261,775,3643,377,4232,0.05,yes_1_4,logistic_tuning
v1_corners_related,logistic_c_0_05__yes_1_4,validation,0.5,0.5513698630136986,0.546923558243821,0.6420765027322405,0.5406441717791411,0.7903587443946188,0.30348837209302326,0.7903587443946188,261,599,187,705,0.05,yes_1_4,logistic_tuning
v1_corners_related,logistic_c_0_1__none,train,0.5,0.5903400908385953,0.5891060515862394,0.617421891164908,0.5900731659086415,0.6474289433716641,0.5307831598008148,0.6474289433716641,2345,2073,1625,2984,0.1,none,logistic_tuning
v1_corners_related,logistic_c_0_1__none,validation,0.5,0.5279680365296804,0.5304280946918344,0.46053489889106325,0.5507020280811232,0.3957399103139013,0.6651162790697674,0.3957399103139013,572,288,539,353,0.1,none,logistic_tuning
v1_corners_related,logistic_c_0_1__balanced,train,0.5,0.5891215243159411,0.5888507300800361,0.5992436520799568,0.5968575118381403,0.6016489477110002,0.576052512449072,0.6016489477110002,2545,1873,1836,2773,0.1,balanced,logistic_tuning
v1_corners_related,logistic_c_0_1__balanced,validation,0.5,0.5302511415525114,0.5336088226092397,0.4312370421561852,0.5621621621621622,0.34977578475336324,0.7174418604651163,0.34977578475336324,617,243,580,312,0.1,balanced,logistic_tuning
v1_corners_related,logistic_c_0_1__no_1_2,train,0.5,0.5741663897197297,0.5771789178591574,0.5104431991849211,0.6179463459759482,0.4348014753742677,0.7195563603440471,0.4348014753742677,3179,1239,2605,2004,0.1,no_1_2,logistic_tuning
v1_corners_related,logistic_c_0_1__no_1_2,validation,0.5,0.5273972602739726,0.5330169986442799,0.32682926829268294,0.5946745562130178,0.22533632286995517,0.8406976744186047,0.22533632286995517,723,137,691,201,0.1,no_1_2,logistic_tuning
v1_corners_related,logistic_c_0_1__yes_1_2,train,0.5,0.5748310623684502,0.5696645638206037,0.6615520282186949,0.557272322091814,0.8138424821002387,0.3254866455409688,0.8138424821002387,1438,2980,858,3751,0.1,yes_1_2,logistic_tuning
v1_corners_related,logistic_c_0_1__yes_1_2,validation,0.5,0.5331050228310502,0.5318646365627282,0.5667372881355932,0.5371485943775101,0.5997757847533632,0.46395348837209305,0.5997757847533632,399,461,357,535,0.1,yes_1_2,logistic_tuning
v1_corners_related,logistic_c_0_1__yes_1_4,train,0.5,0.5609837155201064,0.5536043794489122,0.677306408272942,0.5421011470281544,0.9023649381644608,0.20484382073336352,0.9023649381644608,905,3513,450,4159,0.1,yes_1_4,logistic_tuning
v1_corners_related,logistic_c_0_1__yes_1_4,validation,0.5,0.5519406392694064,0.547859526540828,0.6367422489588154,0.5421591804570528,0.7713004484304933,0.3244186046511628,0.7713004484304933,279,581,204,688,0.1,yes_1_4,logistic_tuning
v1_corners_related,logistic_c_0_3__none,train,0.5,0.5924448875595436,0.5912235159799637,0.6191905599834385,0.5920427553444181,0.648947711000217,0.5334993209597103,0.648947711000217,2357,2061,1618,2991,0.3,none,logistic_tuning
v1_corners_related,logistic_c_0_3__none,validation,0.5,0.5256849315068494,0.5277479403483158,0.4710375556970083,0.5449189985272459,0.4147982062780269,0.6406976744186047,0.4147982062780269,551,309,522,370,0.3,none,logistic_tuning
v1_corners_related,logistic_c_0_3__balanced,train,0.5,0.5897861969646616,0.5894875605535295,0.6004100571921873,0.5972520395019322,0.603601648947711,0.5753734721593481,0.603601648947711,2542,1876,1827,2782,0.3,balanced,logistic_tuning
v1_corners_related,logistic_c_0_3__balanced,validation,0.5,0.5251141552511416,0.5280008342892898,0.44235924932975873,0.55,0.36995515695067266,0.686046511627907,0.36995515695067266,590,270,562,330,0.3,balanced,logistic_tuning
v1_corners_related,logistic_c_0_3__no_1_2,train,0.5,0.580259222333001,0.5828312763393919,0.5287899514985698,0.6194638694638694,0.4612714254719028,0.7043911272068809,0.4612714254719028,3112,1306,2483,2126,0.3,no_1_2,logistic_tuning
v1_corners_related,logistic_c_0_3__no_1_2,validation,0.5,0.5251141552511416,0.5302117009072896,0.35,0.5773195876288659,0.25112107623318386,0.8093023255813954,0.25112107623318386,696,164,668,224,0.3,no_1_2,logistic_tuning
v1_corners_related,logistic_c_0_3__yes_1_2,train,0.5,0.58336102802703,0.5786931428373305,0.6620540929104143,0.5650306748466257,0.7993057062269473,0.3580805794477139,0.7993057062269473,1582,2836,925,3684,0.3,yes_1_2,logistic_tuning
v1_corners_related,logistic_c_0_3__yes_1_2,validation,0.5,0.53824200913242,0.5372849097924706,0.5652874798495433,0.542827657378741,0.5896860986547086,0.4848837209302326,0.5896860986547086,417,443,366,526,0.3,yes_1_2,logistic_tuning
v1_corners_related,logistic_c_0_3__yes_1_4,train,0.5,0.5686274509803921,0.561821371004297,0.6765243395912942,0.5481222237178625,0.8834888262095899,0.24015391579900408,0.8834888262095899,1061,3357,537,4072,0.3,yes_1_4,logistic_tuning
v1_corners_related,logistic_c_0_3__yes_1_4,validation,0.5,0.5416666666666666,0.5379366983001356,0.6224729666196521,0.5360323886639676,0.742152466367713,0.33372093023255817,0.742152466367713,287,573,230,662,0.3,yes_1_4,logistic_tuning
v1_corners_related,logistic_c_1_0__none,train,0.5,0.5906724271629555,0.5895018514860753,0.6166614794065775,0.5908548707753479,0.6448253417227164,0.5341783612494342,0.6448253417227164,2360,2058,1637,2972,1.0,none,logistic_tuning
