model,split,threshold,accuracy,balanced_accuracy,f1,precision,recall,no_recall,yes_recall,true_no_pred_no,true_no_pred_yes,true_yes_pred_no,true_yes_pred_yes,C,class_weight,experiment_type
logistic_c_0_3__none,train,0.5,0.6085078099036225,0.6038540993674875,0.6498216409036861,0.6150815981992122,0.6887208569628229,0.5189873417721519,0.6887208569628229,2214,2052,1482,3279,0.3,none,logistic_tuning
logistic_c_0_3__none,validation,0.5,0.5799086757990868,0.5731203405639143,0.6267748478701826,0.6112759643916914,0.6430801248699272,0.5031605562579013,0.6430801248699272,398,393,343,618,0.3,none,logistic_tuning
logistic_c_0_3__balanced,train,0.5,0.6107233853993574,0.610658240255522,0.6237687366167024,0.6361651015505569,0.6118462507876496,0.6094702297233943,0.6118462507876496,2600,1666,1848,2913,0.3,balanced,logistic_tuning
logistic_c_0_3__balanced,validation,0.5,0.569634703196347,0.57292432687716,0.5787709497206703,0.6248492159227985,0.5390218522372529,0.606826801517067,0.5390218522372529,480,311,443,518,0.3,balanced,logistic_tuning
logistic_c_0_3__no_1_2,train,0.5,0.6054060042095935,0.6085175170624191,0.5959618874773139,0.6478421701602959,0.5517748372190716,0.6652601969057665,0.5517748372190716,2838,1428,2134,2627,0.3,no_1_2,logistic_tuning
logistic_c_0_3__no_1_2,validation,0.5,0.5684931506849316,0.5774747385716785,0.5521327014218009,0.640990371389271,0.48491155046826223,0.6700379266750948,0.48491155046826223,530,261,495,466,0.3,no_1_2,logistic_tuning
logistic_c_0_3__yes_1_2,train,0.5,0.6029688711642849,0.5916449758365482,0.6795422031473534,0.5916238517826561,0.7981516488132745,0.38513830285982187,0.7981516488132745,1643,2623,961,3800,0.3,yes_1_2,logistic_tuning
logistic_c_0_3__yes_1_2,validation,0.5,0.5810502283105022,0.5616370957875475,0.6660600545950864,0.5917542441390461,0.7617065556711758,0.3615676359039191,0.7617065556711758,286,505,229,732,0.3,yes_1_2,logistic_tuning
logistic_c_0_3__yes_1_4,train,0.5,0.5891215243159411,0.5725464104002546,0.6919179333831713,0.5722726023632866,0.8748162150808654,0.2702766057196437,0.8748162150808654,1153,3113,596,4165,0.3,yes_1_4,logistic_tuning
logistic_c_0_3__yes_1_4,validation,0.5,0.5736301369863014,0.5440267788899837,0.6860025220680959,0.5754583921015515,0.8491155046826223,0.23893805309734514,0.8491155046826223,189,602,145,816,0.3,yes_1_4,logistic_tuning
logistic_c_1_0__none,train,0.5,0.609172482552343,0.6047157504229601,0.6493041749502982,0.6163427061709756,0.6859903381642513,0.523441162681669,0.6859903381642513,2233,2033,1495,3266,1.0,none,logistic_tuning
logistic_c_1_0__none,validation,0.5,0.577054794520548,0.5716370826322665,0.6194144838212635,0.6115618661257607,0.627471383975026,0.515802781289507,0.627471383975026,408,383,358,603,1.0,none,logistic_tuning
logistic_c_1_0__balanced,train,0.5,0.6117203943724382,0.6116521632781114,0.6247725082967562,0.637117903930131,0.6128964503255618,0.6104078762306611,0.6128964503255618,2604,1662,1843,2918,1.0,balanced,logistic_tuning
logistic_c_1_0__balanced,validation,0.5,0.569634703196347,0.5734834263192445,0.5764044943820225,0.6263736263736264,0.5338189386056191,0.6131479140328698,0.5338189386056191,485,306,448,513,1.0,balanced,logistic_tuning
logistic_c_1_0__no_1_2,train,0.5,0.6106126066245707,0.6135021983290749,0.6030491247882552,0.6521739130434783,0.5608065532451165,0.6661978434130333,0.5608065532451165,2842,1424,2091,2670,1.0,no_1_2,logistic_tuning
logistic_c_1_0__no_1_2,validation,0.5,0.5633561643835616,0.5732393958568758,0.5421903052064632,0.6380281690140845,0.4713839750260146,0.6750948166877371,0.4713839750260146,534,257,508,453,1.0,no_1_2,logistic_tuning
logistic_c_1_0__yes_1_2,train,0.5,0.6036335438130054,0.5927990875228318,0.6777737752161384,0.59325240422513,0.7903801722327242,0.3952180028129395,0.7903801722327242,1686,2580,998,3763,1.0,yes_1_2,logistic_tuning
logistic_c_1_0__yes_1_2,validation,0.5,0.5781963470319634,0.5604892975211504,0.6589755422242732,0.5920398009950248,0.7429760665972945,0.3780025284450063,0.7429760665972945,299,492,247,714,1.0,yes_1_2,logistic_tuning
logistic_c_1_0__yes_1_4,train,0.5,0.5932203389830508,0.5774923184772196,0.6914804234582423,0.5762498249544882,0.8643142197017434,0.2906704172526957,0.8643142197017434,1240,3026,646,4115,1.0,yes_1_4,logistic_tuning
logistic_c_1_0__yes_1_4,validation,0.5,0.5713470319634704,0.5436229117635838,0.6797441364605543,0.5758670520231214,0.8293444328824141,0.2579013906447535,0.8293444328824141,204,587,164,797,1.0,yes_1_4,logistic_tuning
logistic_c_3_0__none,train,0.5,0.6085078099036225,0.6041953034367669,0.6478676763650857,0.616303317535545,0.6828397395505146,0.5255508673230193,0.6828397395505146,2242,2024,1510,3251,3.0,none,logistic_tuning
logistic_c_3_0__none,validation,0.5,0.577054794520548,0.5728671014048525,0.6150649350649351,0.6141078838174274,0.6160249739854319,0.5297092288242731,0.6160249739854319,419,372,369,592,3.0,none,logistic_tuning
logistic_c_3_0__balanced,train,0.5,0.6142683061925335,0.614311339407652,0.6265551265551266,0.6401490247644094,0.6135265700483091,0.6150961087669948,0.6135265700483091,2624,1642,1840,2921,3.0,balanced,logistic_tuning
logistic_c_3_0__balanced,validation,0.5,0.5639269406392694,0.5677214132455262,0.5707865168539326,0.6202686202686203,0.5286160249739854,0.606826801517067,0.5286160249739854,480,311,453,508,3.0,balanced,logistic_tuning
logistic_c_3_0__no_1_2,train,0.5,0.611831173147225,0.6147305329784811,0.6042466681725773,0.6535548497434644,0.5618567527830288,0.6676043131739334,0.5618567527830288,2848,1418,2086,2675,3.0,no_1_2,logistic_tuning
logistic_c_3_0__no_1_2,validation,0.5,0.5633561643835616,0.5734630356337096,0.5410917816436712,0.6388101983002833,0.46930280957336107,0.6776232616940582,0.46930280957336107,536,255,510,451,3.0,no_1_2,logistic_tuning
logistic_c_3_0__yes_1_2,train,0.5,0.6033012074886451,0.5926790014153323,0.6764838738820128,0.5935320228281548,0.7863894139886578,0.3989685888420066,0.7863894139886578,1702,2564,1017,3744,3.0,yes_1_2,logistic_tuning
logistic_c_3_0__yes_1_2,validation,0.5,0.579337899543379,0.5623126194663955,0.6580046403712297,0.5938023450586265,0.7377731529656608,0.3868520859671302,0.7377731529656608,306,485,252,709,3.0,yes_1_2,logistic_tuning
logistic_c_3_0__yes_1_4,train,0.5,0.5937742328569846,0.5782367637192839,0.6910959481088367,0.5769338959212377,0.8615837009031716,0.29488982653539614,0.8615837009031716,1258,3008,659,4102,3.0,yes_1_4,logistic_tuning
logistic_c_3_0__yes_1_4,validation,0.5,0.5679223744292238,0.5412839028035219,0.6744086021505377,0.5747800586510264,0.8158168574401665,0.2667509481668774,0.8158168574401665,211,580,177,784,3.0,yes_1_4,logistic_tuning
