model,split,threshold,accuracy,balanced_accuracy,f1,precision,recall,no_recall,yes_recall,true_no_pred_no,true_no_pred_yes,true_yes_pred_no,true_yes_pred_yes,C,class_weight,experiment_type
logistic_c_1_0__yes_1_2,train,0.5,0.5843580370001108,0.5618712808790758,0.6877496671105193,0.5779829346761785,0.8489829463735361,0.2747596153846154,0.8489829463735361,1143,3017,735,4132,1.0,yes_1_2,logistic_tuning
logistic_c_1_0__yes_1_2,validation,0.5,0.5536529680365296,0.522003762003762,0.6666666666666666,0.5703865791393143,0.8020512820512821,0.24195624195624196,0.8020512820512821,188,589,193,782,1.0,yes_1_2,logistic_tuning
logistic_c_3_0__none,train,0.5,0.5987592777223884,0.5883736229868344,0.6595864661654135,0.6078295513597782,0.720978015204438,0.45576923076923076,0.720978015204438,1896,2264,1358,3509,3.0,none,logistic_tuning
logistic_c_3_0__none,validation,0.5,0.531392694063927,0.5182080982080982,0.6012627489072365,0.5710332103321033,0.6348717948717949,0.4015444015444015,0.6348717948717949,312,465,356,619,3.0,none,logistic_tuning
logistic_c_3_0__balanced,train,0.5,0.5946604630552786,0.5948562285644292,0.6117771883289125,0.6325142606406319,0.5923566878980892,0.5973557692307693,0.5923566878980892,2485,1675,1984,2883,3.0,balanced,logistic_tuning
logistic_c_3_0__balanced,validation,0.5,0.5091324200913242,0.5124522324522325,0.5227524972253053,0.5695284159613059,0.48307692307692307,0.5418275418275418,0.48307692307692307,421,356,504,471,3.0,balanced,logistic_tuning
logistic_c_3_0__no_1_2,train,0.5,0.5927772238839039,0.594681138475763,0.6016471608149111,0.6365512497133685,0.5703718923361414,0.6189903846153846,0.5703718923361414,2575,1585,2091,2776,3.0,no_1_2,logistic_tuning
logistic_c_3_0__no_1_2,validation,0.5,0.5045662100456622,0.5097871497871498,0.510158013544018,0.5671267252195734,0.4635897435897436,0.555984555984556,0.4635897435897436,432,345,523,452,3.0,no_1_2,logistic_tuning
logistic_c_3_0__no_1_4,train,0.5,0.5686274509803921,0.5809279231401432,0.5144638403990025,0.6542974944497304,0.42387507704951716,0.7379807692307693,0.42387507704951716,3070,1090,2804,2063,3.0,no_1_4,logistic_tuning
logistic_c_3_0__no_1_4,validation,0.5,0.4948630136986301,0.5150519750519751,0.42569759896171316,0.5795053003533569,0.3364102564102564,0.6936936936936937,0.3364102564102564,539,238,647,328,3.0,no_1_4,logistic_tuning
logistic_c_3_0__yes_1_2,train,0.5,0.5843580370001108,0.5622553924783866,0.686602071500167,0.5784658691062632,0.8444627080336963,0.2800480769230769,0.8444627080336963,1165,2995,757,4110,3.0,yes_1_2,logistic_tuning
logistic_c_3_0__yes_1_2,validation,0.5,0.5536529680365296,0.5238332838332839,0.6626402070750647,0.5718540580789278,0.7876923076923077,0.25997425997426,0.7876923076923077,202,575,207,768,3.0,yes_1_2,logistic_tuning
