model,split,accuracy,balanced_accuracy,macro_f1,home_recall,draw_recall,away_recall,draw_boost,draw_threshold,C,class_weight,experiment_type
logistic_c_0_1__draw_1_2,train,0.5499058380414312,0.5061447889381031,0.5019792458294909,0.73578168834481,0.24790841039189784,0.5347442680776014,1.0,none,0.1,draw_1_2,logistic_tuning
logistic_c_0_1__draw_1_2,validation,0.5222602739726028,0.469805116982114,0.44794387808928054,0.7721854304635761,0.11663066954643629,0.5205992509363296,1.0,none,0.1,draw_1_2,logistic_tuning
logistic_c_0_1__draw_1_4,train,0.5425944389055057,0.5129581375286989,0.514514913440752,0.6824789594491201,0.36503742844561865,0.49135802469135803,1.0,none,0.1,draw_1_4,logistic_tuning
logistic_c_0_1__draw_1_4,validation,0.5165525114155252,0.47548380667086626,0.47199234595949857,0.7218543046357616,0.22894168466522677,0.4756554307116105,1.0,none,0.1,draw_1_4,logistic_tuning
logistic_c_0_1__draw_1_6,train,0.5258668439127063,0.5106318871780081,0.5104252353819461,0.6197398622800306,0.47688243064729197,0.43527336860670196,1.0,none,0.1,draw_1_6,logistic_tuning
logistic_c_0_1__draw_1_6,validation,0.5057077625570776,0.47516162811447143,0.4782625001630598,0.671523178807947,0.3326133909287257,0.42134831460674155,1.0,none,0.1,draw_1_6,logistic_tuning
logistic_c_0_3__none,train,0.5530076437354603,0.49938020777189024,0.48257052251829596,0.767661310890079,0.1576398062527521,0.5728395061728395,1.0,none,0.3,none,logistic_tuning
logistic_c_0_3__none,validation,0.526255707762557,0.4686666447739319,0.42916698709079304,0.7933774834437086,0.058315334773218146,0.5543071161048689,1.0,none,0.3,none,logistic_tuning
logistic_c_0_3__balanced,train,0.536723163841808,0.5256207053323844,0.5232991851328651,0.5694975771486865,0.432408630559225,0.5749559082892416,1.0,none,0.3,balanced,logistic_tuning
logistic_c_0_3__balanced,validation,0.5085616438356164,0.48469506054367945,0.4831243090781984,0.6132450331125828,0.2958963282937365,0.5449438202247191,1.0,none,0.3,balanced,logistic_tuning
logistic_c_0_3__draw_1_2,train,0.5526753074111,0.5110338228779042,0.5080673509220982,0.7296608008161183,0.2655217965653897,0.5379188712522046,1.0,none,0.3,draw_1_2,logistic_tuning
logistic_c_0_3__draw_1_2,validation,0.5171232876712328,0.4666843844247799,0.44830456489056547,0.7589403973509934,0.13174946004319654,0.5093632958801498,1.0,none,0.3,draw_1_2,logistic_tuning
logistic_c_0_3__draw_1_4,train,0.5453639082751744,0.5175641770888201,0.5191200349946196,0.6778882938026014,0.3813298106560986,0.49347442680776016,1.0,none,0.3,draw_1_4,logistic_tuning
logistic_c_0_3__draw_1_4,validation,0.5108447488584474,0.4713559636711316,0.4688242912478684,0.7086092715231788,0.23542116630669546,0.4700374531835206,1.0,none,0.3,draw_1_4,logistic_tuning
logistic_c_0_3__draw_1_6,train,0.5320704553007644,0.516786166434915,0.5167973663259215,0.6235654169854629,0.47776309995596655,0.4490299823633157,1.0,none,0.3,draw_1_6,logistic_tuning
logistic_c_0_3__draw_1_6,validation,0.4971461187214612,0.4664942997729316,0.46920377311171196,0.6609271523178808,0.31533477321814257,0.4232209737827715,1.0,none,0.3,draw_1_6,logistic_tuning
logistic_c_1_0__none,train,0.555333998005982,0.5032497675999662,0.4884000774168369,0.7633256822239225,0.17040951122853368,0.5760141093474427,1.0,none,1.0,none,logistic_tuning
logistic_c_1_0__none,validation,0.5222602739726028,0.4659590277647198,0.4300719862764007,0.7841059602649006,0.06695464362850972,0.5468164794007491,1.0,none,1.0,none,logistic_tuning
