feature_set,model,split,true_label,predicted_label,count
full_v2,catboost_classifier,validation,H,H,623
full_v2,catboost_classifier,validation,H,D,17
full_v2,catboost_classifier,validation,H,A,115
full_v2,catboost_classifier,validation,D,H,300
full_v2,catboost_classifier,validation,D,D,14
full_v2,catboost_classifier,validation,D,A,149
full_v2,catboost_classifier,validation,A,H,201
full_v2,catboost_classifier,validation,A,D,11
full_v2,catboost_classifier,validation,A,A,322
full_v2,catboost_classifier,test,H,H,605
full_v2,catboost_classifier,test,H,D,11
full_v2,catboost_classifier,test,H,A,119
full_v2,catboost_classifier,test,D,H,279
full_v2,catboost_classifier,test,D,D,11
full_v2,catboost_classifier,test,D,A,148
full_v2,catboost_classifier,test,A,H,242
full_v2,catboost_classifier,test,A,D,20
full_v2,catboost_classifier,test,A,A,314
