feature_set,model,split,score_type,score,count,rate
v1_only,random_forest_reference,train,predicted,2:0,315,0.03489531405782652
v1_only,random_forest_reference,train,predicted,1:3,264,0.029245596543702228
v1_only,random_forest_reference,train,predicted,1:0,143,0.01584136479450537
v1_only,random_forest_reference,train,predicted,3:0,137,0.015176692145784867
v1_only,random_forest_reference,train,predicted,0:2,123,0.013625789298770355
v1_only,random_forest_reference,validation,actual,1:1,213,0.12157534246575342
v1_only,random_forest_reference,validation,actual,1:0,152,0.0867579908675799
v1_only,random_forest_reference,validation,actual,2:1,133,0.07591324200913242
v1_only,random_forest_reference,validation,actual,1:2,120,0.0684931506849315
v1_only,random_forest_reference,validation,actual,2:0,120,0.0684931506849315
v1_only,random_forest_reference,validation,actual,0:1,114,0.06506849315068493
v1_only,random_forest_reference,validation,actual,0:0,112,0.0639269406392694
v1_only,random_forest_reference,validation,actual,2:2,110,0.06278538812785388
v1_only,random_forest_reference,validation,actual,0:2,80,0.045662100456621
v1_only,random_forest_reference,validation,actual,3:1,80,0.045662100456621
v1_only,random_forest_reference,validation,predicted,2:1,708,0.4041095890410959
v1_only,random_forest_reference,validation,predicted,1:1,470,0.2682648401826484
v1_only,random_forest_reference,validation,predicted,1:2,317,0.18093607305936074
v1_only,random_forest_reference,validation,predicted,2:2,115,0.0656392694063927
v1_only,random_forest_reference,validation,predicted,3:1,113,0.06449771689497717
v1_only,random_forest_reference,validation,predicted,1:3,16,0.0091324200913242
v1_only,random_forest_reference,validation,predicted,4:1,7,0.003995433789954338
v1_only,random_forest_reference,validation,predicted,5:1,2,0.001141552511415525
v1_only,random_forest_reference,validation,predicted,2:3,2,0.001141552511415525
v1_only,random_forest_reference,validation,predicted,3:2,1,0.0005707762557077625
v1_only,ridge_regression,test,actual,1:1,215,0.12292738707833048
v1_only,ridge_regression,test,actual,1:0,162,0.09262435677530018
v1_only,ridge_regression,test,actual,2:1,147,0.08404802744425385
v1_only,ridge_regression,test,actual,1:2,127,0.07261292166952545
v1_only,ridge_regression,test,actual,0:1,124,0.07089765580331618
v1_only,ridge_regression,test,actual,2:0,111,0.0634648370497427
v1_only,ridge_regression,test,actual,2:2,106,0.06060606060606061
v1_only,ridge_regression,test,actual,0:0,101,0.0577472841623785
